Fri Jan 22 20:56:23:493 |    3463 | 		0, 2/0: 3354 (itProxy) S 1 3354 3354 0 -1 4194368 143 0 0 0 0 0 0 0 -31 0 1 0 2546 5517312 502 18446744073709551615 4194304 4208456 281474465681776 0 0 0 0 3670016 94208 1 0 0 17 1 30 1 0 0 0 4275576 4276656 564953088 281474465684955 281474465685015 281474465685015 281474465685470 0
Fri Jan 22 20:56:30:465 |    3298 | SYSUP OK ipcs attached pid=3298
Tue Jan 26 03:33:04:526 |    3463 | TEST_PIDS:
Tue Jan 26 03:33:04:527 |    3463 | 	Missing process: syslog-ng(2734).
Tue Jan 26 03:33:04:527 |    3463 | 	Re-check (1 / 30) process: syslog-ng.
Tue Jan 26 03:33:05:532 |    3463 | 	Re-check process sucessfull: 14276 (syslog-ng) S 1 14275 14275 0 -1 4194368 78 0 0 0 0 0 0 0 20 0 1 0 28303663 7233536 480 18446744073709551615 4194304 4203684 281474396437600 0 0 0 0 1 0 1 0 0 17 2 0 0 0 0 0 4271560 4273040 424718336 281474396438343 281474396438363 281474396438363 281474396438500 0
Tue Jan 26 03:33:05:532 |    3463 | TEST_PIDS:
Tue Jan 26 03:33:05:532 |    3463 | 	Missing process: syslog-ng(2735).
Tue Jan 26 03:33:05:532 |    3463 | 	Re-check (1 / 30) process: syslog-ng.
Tue Jan 26 03:33:06:536 |    3463 | 	Re-check process sucessfull: 14277 (syslog-ng) S 14276 14277 14277 0 -1 4194624 874 0 7 0 1 1 0 0 20 0 2 0 28303663 84660224 1556 18446744073709551615 4194304 4203684 281474396437600 0 0 0 0 4198400 90627 0 0 0 17 3 0 0 0 0 0 4271560 4273040 424718336 281474396438343 281474396438363 281474396438363 281474396438500 0
Sat Jan 30 03:33:04:120 |    3463 | TEST_PIDS:
Sat Jan 30 03:33:04:120 |    3463 | 	Missing process: syslog-ng(14276).
Sat Jan 30 03:33:04:120 |    3463 | 	Re-check (1 / 30) process: syslog-ng.
Sat Jan 30 03:33:05:124 |    3463 | 	Re-check process sucessfull: 19066 (syslog-ng) S 1 19065 19065 0 -1 4194368 77 0 0 0 0 0 0 0 20 0 1 0 62863643 7233536 478 18446744073709551615 4194304 4203684 281474608088320 0 0 0 0 1 0 1 0 0 17 2 0 0 0 0 0 4271560 4273040 175398912 281474608090951 281474608090971 281474608090971 281474608091108 0
Sat Jan 30 03:33:05:124 |    3463 | TEST_PIDS:
Sat Jan 30 03:33:05:124 |    3463 | 	Missing process: syslog-ng(14277).
Sat Jan 30 03:33:05:124 |    3463 | 	Re-check (1 / 30) process: syslog-ng.
Sat Jan 30 03:33:06:129 |    3463 | 	Re-check process sucessfull: 19067 (syslog-ng) S 19066 19067 19067 0 -1 4194624 900 0 0 0 0 2 0 0 20 0 4 0 62863643 235520000 1550 18446744073709551615 4194304 4203684 281474608088320 0 0 0 0 4198400 90627 0 0 0 17 0 0 0 0 0 0 4271560 4273040 175398912 281474608090951 281474608090971 281474608090971 281474608091108 0
Wed Feb  3 03:33:03:688 |    3463 | TEST_PIDS:
Wed Feb  3 03:33:03:689 |    3463 | 	Missing process: syslog-ng(19066).
Wed Feb  3 03:33:03:689 |    3463 | 	Re-check (1 / 30) process: syslog-ng.
Wed Feb  3 03:33:04:694 |    3463 | 	Re-check process sucessfull: 24334 (syslog-ng) S 1 24333 24333 0 -1 4194368 75 0 0 0 0 0 0 0 20 0 1 0 97423620 7233536 486 18446744073709551615 4194304 4203684 281474893261776 0 0 0 0 1 0 1 0 0 17 2 0 0 0 0 0 4271560 4273040 696045568 281474893262663 281474893262683 281474893262683 281474893262820 0
Wed Feb  3 03:33:04:694 |    3463 | TEST_PIDS:
Wed Feb  3 03:33:04:694 |    3463 | 	Missing process: syslog-ng(19067).
Wed Feb  3 03:33:04:694 |    3463 | 	Re-check (1 / 30) process: syslog-ng.
Wed Feb  3 03:33:05:699 |    3463 | 	Re-check process sucessfull: 24335 (syslog-ng) S 24334 24335 24335 0 -1 4194624 877 0 7 0 1 1 0 0 20 0 2 0 97423620 84525056 1599 18446744073709551615 4194304 4203684 281474893261776 0 0 0 0 4198400 90627 0 0 0 17 2 0 0 0 0 0 4271560 4273040 696045568 281474893262663 281474893262683 281474893262683 281474893262820 0
Sun Feb  7 03:33:03:289 |    3463 | TEST_PIDS:
Sun Feb  7 03:33:03:289 |    3463 | 	Missing process: syslog-ng(24334).
Sun Feb  7 03:33:03:289 |    3463 | 	Re-check (1 / 30) process: syslog-ng.
Sun Feb  7 03:33:04:294 |    3463 | 	Re-check process sucessfull: 27137 (syslog-ng) S 1 27136 27136 0 -1 4194368 75 0 0 0 0 0 0 0 20 0 1 0 131983583 7233536 480 18446744073709551615 4194304 4203684 281474226353152 0 0 0 0 1 0 1 0 0 17 2 0 0 0 0 0 4271560 4273040 375455744 281474226356039 281474226356059 281474226356059 281474226356196 0
Sun Feb  7 03:33:04:294 |    3463 | TEST_PIDS:
Sun Feb  7 03:33:04:294 |    3463 | 	Missing process: syslog-ng(24335).
Sun Feb  7 03:33:04:294 |    3463 | 	Re-check (1 / 30) process: syslog-ng.
Sun Feb  7 03:33:05:298 |    3463 | 	Re-check process sucessfull: 27138 (syslog-ng) S 27137 27138 27138 0 -1 4194624 884 0 0 0 2 1 0 0 20 0 2 0 131983583 84660224 1550 18446744073709551615 4194304 4203684 281474226353152 0 0 0 0 4198400 90627 0 0 0 17 3 0 0 0 0 0 4271560 4273040 375455744 281474226356039 281474226356059 281474226356059 281474226356196 0
